,0
1145,7
1146,1
1147,7
1148,1
1149,7
1150,1
1151,7
1152,1
1153,7
1154,1
1155,7
1156,1
1157,7
1158,1
1159,7
1160,1
1161,7
1162,1
1163,7
1164,1
1165,7
1166,1
1167,7
1168,1
1169,7
1170,1
1171,7
1172,1
1173,7
1174,1
1175,7
1176,1
1177,7
1178,1
1179,7
1180,1
1181,7
1182,1
1183,7
1184,1
1185,7
1186,1
1187,7
1188,1
1189,7
1190,1
1191,7
1192,1
1193,7
1194,1
1195,7
1196,1
1197,7
1198,1
1199,7
1200,1
1201,7
1202,1
1203,7
1204,1
1205,7
1206,1
1207,7
1208,1
1209,7
1210,1
1211,7
1212,1
1213,7
1214,1
1215,7
1216,1
1217,7
1218,1
1219,7
1220,1
1221,7
1222,1
1223,7
1224,1
1225,7
1226,1
1227,7
1228,1
1229,7
1230,1
1231,7
1232,1
1233,7
1234,1
1235,7
1236,1
1237,7
1238,1
1239,7
1240,1
1241,7
1242,1
1243,7
1244,1
1245,7
1246,1
1247,7
1248,1
1249,7
1250,1
1251,7
1252,1
1253,7
1254,1
1255,7
1256,1
1257,7
1258,1
1259,7
1260,1
1261,7
1262,1
1263,7
1264,1
1265,7
1266,1
1267,7
1268,1
1269,7
1270,1
1271,7
1272,1
1273,7
1274,1
1275,7
1276,1
1277,7
1278,1
1279,7
1280,1
1281,7
1282,1
1283,7
1284,1
1285,7
1286,1
1287,7
1288,1
1289,7
1290,1
1291,7
1292,1
1293,7
1294,1
1295,7
1296,1
1297,7
1298,1
1299,7
1300,1
1301,7
1302,1
1303,7
1304,1
1305,7
1306,1
1307,7
1308,1
1309,7
1310,1
1311,7
1312,1
1313,7
1314,1
1315,7
1316,1
1317,7
1318,1
1319,7
1320,1
1321,7
1322,1
1323,7
1324,1
1325,7
1326,1
1327,7
1328,1
1329,7
1330,1
1331,7
1332,1
1333,7
1334,1
1335,7
1336,1
1337,7
1338,1
1339,7
1340,1
1341,7
1342,1
1343,7
1344,1
1345,7
1346,1
1347,7
1348,1
1349,7
1350,1
1351,7
1352,1
1353,7
1354,1
1355,7
1356,1
1357,7
1358,1
1359,7
1360,1
1361,7
1362,1
1363,7
1364,1
1365,7
1366,1
1367,7
1368,1
1369,7
1370,1
1371,7
1372,1
1373,7
1374,1
1375,7
1376,1
1377,7
1378,1
1379,7
1380,1
1381,7
1382,1
1383,7
1384,1
1385,7
1386,1
1387,7
1388,1
1389,7
1390,1
1391,7
1392,1
1393,7
1394,1
1395,7
1396,1
1397,7
1398,1
1399,7
1400,1
1401,7
1402,1
1403,7
1404,1
1405,7
1406,1
1407,7
1408,1
1409,7
1410,1
1411,7
1412,1
1413,7
1414,1
1415,7
1416,1
1417,7
1418,1
1419,7
1420,1
1421,7
1422,1
1423,7
1424,1
1425,7
1426,1
1427,7
1428,1
1429,7
1430,1
1431,7
1432,1
1433,7
1434,1
1435,7
1436,1
1437,7
1438,1
1439,7
1440,1
1441,7
1442,1
1443,7
1444,1
1445,7
1446,1
1447,7
1448,1
1449,7
1450,1
1451,7
1452,1
1453,7
1454,1
1455,7
1456,1
1457,7
1458,1
1459,7
1460,1
1461,7
1462,1
1463,7
1464,1
1465,7
1466,1
1467,7
1468,1
1469,7
1470,1
1471,7
1472,1
1473,7
1474,1
1475,7
1476,1
1477,7
1478,1
1479,7
1480,1
1481,7
1482,1
1483,7
1484,1
1485,7
1486,1
1487,7
1488,1
1489,7
1490,1
1491,7
1492,1
1493,7
1494,1
1495,7
1496,1
1497,7
1498,1
1499,7
1500,1
1501,7
1502,1
1503,7
1504,1
1505,7
1506,1
1507,7
1508,1
1509,7
1510,1
1511,7
1512,1
1513,7
1514,1
1515,7
1516,1
1517,7
1518,1
1519,7
1520,1
1521,7
1522,1
1523,7
1524,1
1525,7
1526,1
1527,7
1528,1
1529,7
1530,1
1531,7
1532,1
1533,7
1534,1
1535,7
1536,1
1537,7
1538,1
1539,7
1540,1
1541,7
1542,1
1543,7
1544,1
1545,7
1546,1
1547,7
1548,1
1549,7
1550,1
1551,7
1552,1
1553,7
1554,1
1555,7
1556,1
1557,7
1558,1
1559,7
1560,1
1561,7
1562,1
1563,7
1564,1
1565,7
1566,1
1567,7
1568,1
1569,7
1570,1
1571,7
1572,1
1573,7
1574,1
1575,7
1576,1
1577,7
1578,1
1579,7
1580,1
1581,7
1582,1
1583,7
1584,1
1585,7
1586,1
1587,7
1588,1
1589,7
1590,1
1591,7
1592,1
1593,7
1594,1
1595,7
1596,1
1597,7
1598,1
1599,7
1600,1
1601,7
1602,1
1603,7
1604,1
1605,7
1606,1
1607,7
1608,1
1609,7
1610,1
1611,7
1612,1
1613,7
1614,1
1615,7
1616,1
1617,7
1618,1
1619,7
1620,1
1621,7
1622,1
1623,7
1624,1
1625,7
1626,1
1627,7
1628,1
1629,7
1630,1
1631,7
1632,1
1633,7
1634,1
1635,7
1636,1
1637,7
1638,1
1639,7
1640,1
1641,7
1642,1
1643,7
1644,1
1645,7
1646,1
1647,7
1648,1
1649,7
1650,1
1651,7
1652,1
1653,7
1654,1
1655,7
1656,1
1657,7
1658,1
1659,7
1660,1
1661,7
1662,1
1663,7
1664,1
1665,7
1666,1
1667,7
1668,1
1669,7
1670,1
1671,7
1672,1
1673,7
1674,1
1675,7
1676,1
1677,7
1678,1
1679,7
1680,1
1681,7
1682,1
1683,7
1684,1
1685,7
1686,1
1687,7
1688,1
1689,7
1690,1
1691,7
1692,1
1693,7
1694,1
1695,7
1696,1
1697,7
1698,1
1699,7
1700,1
1701,7
1702,1
1703,7
1704,1
1705,7
1706,1
1707,7
1708,1
1709,7
1710,1
1711,7
1712,1
1713,7
1714,1
1715,7
1716,1
1717,7
1718,1
1719,7
1720,1
1721,7
1722,1
1723,7
1724,1
1725,7
1726,1
1727,7
1728,1
1729,7
1730,1
1731,7
1732,1
1733,7
1734,1
1735,7
1736,1
1737,7
1738,1
1739,7
1740,1
1741,7
1742,1
1743,7
1744,1
1745,7
1746,1
1747,7
1748,1
1749,7
1750,1
1751,7
1752,1
1753,7
1754,1
1755,7
1756,1
1757,7
1758,1
1759,7
1760,1
1761,7
1762,1
1763,7
1764,1
1765,7
1766,1
1767,7
1768,1
1769,7
1770,1
1771,7
1772,1
1773,7
1774,1
1775,7
1776,1
1777,7
1778,1
1779,7
1780,1
1781,7
1782,1
1783,7
1784,1
1785,7
1786,1
1787,7
1788,1
1789,7
1790,1
1791,7
1792,1
1793,7
1794,1
1795,7
1796,1
1797,7
1798,1
1799,7
1800,1
1801,7
1802,1
1803,7
1804,1
1805,7
1806,1
1807,7
1808,1
1809,7
1810,1
1811,7
1812,1
1813,7
1814,1
1815,7
1816,1
1817,7
1818,1
1819,7
1820,1
1821,7
1822,1
1823,7
1824,1
1825,7
1826,1
1827,7
1828,1
1829,7
1830,1
1831,7
1832,1
1833,7
1834,1
1835,7
1836,1
1837,7
1838,1
1839,7
1840,1
1841,7
1842,1
1843,7
1844,1
1845,7
1846,1
1847,7
1848,1
1849,7
1850,1
1851,7
1852,1
1853,7
1854,1
1855,7
1856,1
1857,7
1858,1
1859,7
1860,1
1861,7
1862,1
1863,7
1864,1
1865,7
1866,1
1867,7
1868,1
1869,7
1870,1
1871,7
1872,1
1873,7
1874,1
1875,7
1876,1
1877,7
1878,1
1879,7
1880,1
1881,7
1882,1
1883,7
1884,1
1885,7
1886,1
1887,7
1888,1
1889,7
1890,1
1891,7
1892,1
1893,7
1894,1
1895,7
1896,1
1897,7
1898,1
1899,7
1900,1
1901,7
1902,1
1903,7
1904,1
1905,7
1906,1
1907,7
1908,1
1909,7
1910,1
1911,7
1912,1
1913,7
1914,1
1915,7
1916,1
1917,7
1918,1
1919,7
1920,1
1921,7
1922,1
1923,7
1924,1
1925,7
1926,1
1927,7
1928,1
1929,7
1930,1
1931,7
1932,1
1933,7
1934,1
1935,7
1936,1
1937,7
1938,1
1939,7
1940,1
1941,7
1942,1
1943,7
1944,1
1945,7
1946,1
1947,7
1948,1
1949,7
1950,1
1951,7
1952,1
1953,7
1954,1
1955,7
1956,1
1957,7
1958,1
1959,7
1960,1
1961,7
1962,1
1963,7
1964,1
1965,7
1966,1
1967,7
1968,1
1969,7
1970,1
1971,7
1972,1
1973,7
1974,1
1975,7
1976,1
1977,7
1978,1
1979,7
1980,1
1981,7
1982,1
1983,7
1984,1
1985,7
1986,1
1987,7
1988,1
1989,7
1990,1
1991,7
1992,1
1993,7
1994,1
1995,7
1996,1
1997,7
1998,1
1999,7
2000,1
2001,7
2002,1
2003,7
2004,1
2005,7
2006,1
2007,7
2008,1
2009,7
2010,1
2011,7
2012,1
2013,7
2014,1
2015,7
2016,1
2017,7
2018,1
2019,7
2020,1
2021,7
2022,1
2023,7
2024,1
2025,7
2026,1
2027,7
2028,1
2029,7
2030,1
2031,7
2032,1
2033,7
2034,1
2035,7
2036,1
2037,7
2038,1
2039,7
2040,1
2041,7
2042,1
2043,7
2044,1
2045,7
2046,1
2047,7
2048,1
2049,7
2050,1
2051,7
2052,1
2053,7
2054,1
2055,7
2056,1
2057,7
2058,1
2059,7
2060,1
2061,7
2062,1
2063,7
2064,1
2065,7
2066,1
2067,7
2068,1
2069,7
2070,1
2071,7
2072,1
2073,7
2074,1
2075,7
2076,1
2077,7
2078,1
2079,7
2080,1
2081,7
2082,1
2083,7
2084,1
2085,7
2086,1
2087,7
2088,1
2089,7
2090,1
2091,7
2092,1
2093,7
2094,1
2095,7
2096,1
2097,7
2098,1
2099,7
2100,1
2101,7
2102,1
2103,7
2104,1
2105,7
2106,1
2107,7
2108,1
2109,7
2110,1
2111,7
2112,1
2113,7
2114,1
2115,7
2116,1
2117,7
2118,1
2119,7
2120,1
2121,7
2122,1
2123,7
2124,1
2125,7
2126,1
2127,7
2128,1
2129,7
2130,1
2131,7
2132,1
2133,7
2134,1
2135,7
2136,1
2137,7
2138,1
2139,7
2140,1
2141,7
2142,1
2143,7
2144,1
2145,7
2146,1
2147,7
2148,1
2149,7
2150,1
2151,7
2152,1
2153,7
2154,1
2155,7
2156,1
2157,7
2158,1
2159,7
2160,1
2161,7
2162,1
2163,7
2164,1
2165,7
2166,1
2167,7
2168,1
2169,7
2170,1
2171,7
2172,1
2173,7
2174,1
2175,7
2176,1
2177,7
2178,1
2179,7
2180,1
2181,7
2182,1
2183,7
2184,1
2185,7
2186,1
2187,7
2188,1
2189,7
2190,1
2191,7
2192,1
2193,7
2194,1
2195,7
2196,1
2197,7
2198,1
2199,7
2200,1
2201,7
2202,1
2203,7
2204,1
2205,7
2206,1
2207,7
2208,1
2209,7
2210,1
2211,7
2212,1
2213,7
2214,1
2215,7
2216,1
2217,7
2218,1
2219,7
2220,1
2221,7
2222,1
2223,7
2224,1
2225,7
2226,1
2227,7
2228,1
2229,7
2230,1
2231,7
2232,1
2233,7
2234,1
2235,7
2236,1
2237,7
2238,1
2239,7
2240,1
2241,7
2242,1
2243,7
2244,1
2245,7
2246,1
2247,7
2248,1
2249,7
2250,1
2251,7
2252,1
2253,7
2254,1
2255,7
2256,1
2257,7
2258,1
2259,7
2260,1
2261,7
2262,1
2263,7
2264,1
2265,7
2266,1
2267,7
2268,1
2269,7
2270,1
2271,7
2272,1
2273,7
2274,1
2275,7
2276,1
2277,7
2278,1
2279,7
2280,1
2281,7
2282,1
2283,7
2284,1
2285,7
2286,1
2287,7
2288,1
2289,7
2290,1
2291,7
2292,1
2293,7
2294,1
2295,7
2296,1
2297,7
2298,1
2299,7
2300,1
2301,7
2302,1
2303,7
2304,1
2305,7
2306,1
2307,7
2308,1
2309,7
2310,1
2311,7
2312,1
2313,7
2314,1
2315,7
2316,1
2317,7
2318,1
2319,7
2320,1
2321,7
2322,1
2323,7
2324,1
2325,7
2326,1
2327,7
2328,1
2329,7
2330,1
2331,7
2332,1
2333,7
2334,1
2335,7
2336,1
2337,7
2338,1
2339,7
2340,1
2341,7
2342,1
2343,7
2344,1
2345,7
2346,1
2347,7
2348,1
2349,7
2350,1
2351,7
2352,1
2353,7
2354,1
2355,7
2356,1
2357,7
2358,1
2359,7
2360,1
2361,7
2362,1
2363,7
2364,1
2365,7
2366,1
2367,7
2368,1
2369,7
2370,1
2371,7
2372,1
2373,7
2374,1
2375,7
2376,1
2377,7
2378,1
2379,7
2380,1
2381,7
2382,1
2383,7
2384,1
2385,7
2386,1
2387,7
2388,1
2389,7
2390,1
2391,7
2392,1
2393,7
2394,1
2395,7
2396,1
2397,7
2398,1
2399,7
2400,1
2401,7
2402,1
2403,7
2404,1
2405,7
2406,1
2407,7
2408,1
2409,7
2410,1
2411,7
2412,1
2413,7
2414,1
2415,7
2416,1
2417,7
2418,1
2419,7
2420,1
2421,7
2422,1
2423,7
2424,1
2425,7
2426,1
2427,7
2428,1
2429,7
2430,1
2431,7
2432,1
2433,7
2434,1
2435,7
2436,1
2437,7
2438,1
2439,7
2440,1
2441,7
2442,1
2443,7
2444,1
2445,7
2446,1
2447,7
2448,1
2449,7
2450,1
2451,7
2452,1
2453,7
2454,1
2455,7
2456,1
2457,7
2458,1
2459,7
2460,1
2461,7
2462,1
2463,7
2464,1
2465,7
2466,1
2467,7
2468,1
2469,7
2470,1
2471,7
2472,1
2473,7
2474,1
2475,7
2476,1
2477,7
2478,1
2479,7
2480,1
2481,7
2482,1
2483,7
2484,1
2485,7
2486,1
2487,7
2488,1
2489,7
2490,1
2491,7
2492,1
2493,7
2494,1
2495,7
2496,1
2497,7
2498,1
2499,7
2500,1
2501,7
2502,1
2503,7
2504,1
2505,7
2506,1
2507,7
2508,1
2509,7
2510,1
2511,7
2512,1
2513,7
2514,1
2515,7
2516,1
2517,7
2518,1
2519,7
2520,1
2521,7
2522,1
2523,7
2524,1
2525,7
2526,1
2527,7
2528,1
2529,7
2530,1
2531,7
2532,1
2533,7
2534,1
2535,7
2536,1
2537,7
2538,1
2539,7
2540,1
2541,7
2542,1
2543,7
2544,1
2545,7
2546,1
2547,7
2548,1
2549,7
2550,1
2551,7
2552,1
2553,7
2554,1
2555,7
2556,1
2557,7
2558,1
2559,7
2560,1
2561,7
2562,1
2563,7
2564,1
2565,7
2566,1
2567,7
2568,1
2569,7
2570,1
2571,7
2572,1
2573,7
2574,1
2575,7
2576,1
2577,7
2578,1
2579,7
2580,1
2581,7
2582,1
2583,7
2584,1
2585,7
2586,1
2587,7
2588,1
2589,7
2590,1
2591,7
2592,1
2593,7
2594,1
2595,7
2596,1
2597,7
2598,1
2599,7
2600,1
2601,7
2602,1
2603,7
2604,1
2605,7
2606,1
2607,7
2608,1
2609,7
2610,1
2611,7
2612,1
2613,7
2614,1
2615,7
2616,1
2617,7
2618,1
2619,7
2620,1
2621,7
2622,1
2623,7
2624,1
2625,7
2626,1
2627,7
2628,1
2629,7
2630,1
2631,7
2632,1
2633,7
2634,1
2635,7
2636,1
2637,7
2638,1
2639,7
2640,1
2641,7
2642,1
2643,7
2644,1
2645,7
2646,1
2647,7
2648,1
2649,7
2650,1
2651,7
2652,1
2653,7
2654,1
2655,7
2656,1
2657,7
2658,1
2659,7
2660,1
2661,7
2662,1
2663,7
2664,1
2665,7
2666,1
2667,7
2668,1
2669,7
2670,1
2671,7
2672,1
2673,7
2674,1
2675,7
2676,1
2677,7
2678,1
2679,7
2680,1
2681,7
2682,1
2683,7
2684,1
2685,7
2686,1
2687,7
2688,1
2689,7
2690,1
2691,7
2692,1
2693,7
2694,1
2695,7
2696,1
2697,7
2698,1
2699,7
2700,1
2701,7
2702,1
2703,7
2704,1
2705,7
2706,1
2707,7
2708,1
2709,7
2710,1
2711,7
2712,1
2713,7
2714,1
2715,7
2716,1
2717,7
2718,1
2719,7
2720,1
2721,7
2722,1
2723,7
2724,1
2725,7
2726,1
2727,7
2728,1
2729,7
2730,1
2731,7
2732,1
2733,7
2734,1
2735,7
2736,1
2737,7
2738,1
2739,7
2740,1
2741,7
2742,1
2743,7
2744,1
2745,7
2746,1
2747,7
2748,1
2749,7
2750,1
2751,7
2752,1
2753,7
2754,1
2755,7
2756,1
2757,7
2758,1
2759,7
2760,1
2761,7
2762,1
2763,7
2764,1
2765,7
2766,1
2767,7
2768,1
2769,7
2770,1
2771,7
2772,1
2773,7
2774,1
2775,7
2776,1
2777,7
2778,1
2779,7
2780,1
2781,7
2782,1
2783,7
2784,1
2785,7
2786,1
2787,7
2788,1
2789,7
2790,1
2791,7
2792,1
2793,7
2794,1
2795,7
2796,1
2797,7
2798,1
2799,7
2800,1
2801,7
2802,1
2803,7
2804,1
2805,7
2806,1
2807,7
2808,1
2809,7
2810,1
2811,7
2812,1
2813,7
2814,1
2815,7
2816,1
2817,7
2818,1
2819,7
2820,1
2821,7
2822,1
2823,7
2824,1
2825,7
2826,1
2827,7
2828,1
2829,7
2830,1
2831,7
2832,1
2833,7
2834,1
2835,7
2836,1
2837,7
2838,1
2839,7
2840,1
2841,7
2842,1
2843,7
2844,1
2845,7
2846,1
2847,7
2848,1
2849,7
2850,1
2851,7
2852,1
2853,7
2854,1
2855,7
2856,1
2857,7
2858,1
2859,7
2860,1
2861,7
2862,1
2863,7
2864,1
2865,7
2866,1
2867,7
2868,1
2869,7
2870,1
2871,7
2872,1
2873,7
2874,1
2875,7
2876,1
2877,7
2878,1
2879,7
2880,1
2881,7
2882,1
2883,7
2884,1
2885,7
2886,1
2887,7
2888,1
2889,7
2890,1
2891,7
2892,1
2893,7
2894,1
2895,7
2896,1
2897,7
2898,1
2899,7
2900,1
2901,7
2902,1
2903,7
2904,1
2905,7
2906,1
2907,7
2908,1
2909,7
2910,1
2911,7
2912,1
2913,7
2914,1
2915,7
2916,1
2917,7
2918,1
2919,7
2920,1
2921,7
2922,1
2923,7
2924,1
2925,7
2926,1
2927,7
2928,1
2929,7
2930,1
2931,7
2932,1
2933,7
2934,1
2935,7
2936,1
2937,7
2938,1
2939,7
2940,1
2941,7
2942,1
2943,7
2944,1
2945,7
2946,1
2947,7
2948,1
2949,7
2950,1
2951,7
2952,1
2953,7
2954,1
2955,7
2956,1
2957,7
2958,1
2959,7
2960,1
2961,7
2962,1
2963,7
2964,1
2965,7
2966,1
2967,7
2968,1
2969,7
2970,1
2971,7
2972,1
2973,7
2974,1
2975,7
2976,1
2977,7
2978,1
2979,7
2980,1
2981,7
2982,1
2983,7
2984,1
2985,7
2986,1
2987,7
2988,1
2989,7
2990,1
2991,7
2992,1
2993,7
2994,1
2995,7
2996,1
2997,7
